 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
25/02/17 20:18:35 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
28/02/17 23:36:46 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
28/02/17 23:36:58 | status : 200 | http://www.itris.com.ar
04/03/17 02:57:14 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
04/03/17 02:57:23 | status : 200 | http://www.itris.com.ar
07/03/17 05:43:36 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
07/03/17 05:44:00 | status : 200 | http://www.itris.com.ar
17/04/17 14:19:34 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
21/04/17 17:25:19 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
25/04/17 10:09:48 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
28/04/17 13:18:39 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
28/04/17 15:15:13 | status : 200 | http://www.itris.com.ar
28/04/17 22:19:48 | status : 200 | http://www.itris.com.ar
28/04/17 22:44:57 | status : 200 | http://iserver.itris.com.ar:3000/ITSWS/ItsCliSvrWS.asmx?WSDL
28/04/17 22:46:22 | status : 200 | http://www.itris.com.ar
29/04/17 04:30:18 | status : 200 | http://www.itris.com.ar
29/04/17 10:22:21 | status : 200 | http://www.itris.com.ar
03/05/17 17:19:42 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
08/05/17 17:33:34 | status : 200 | http://depolaly.dyndns.org:85/ITSWS/ItsCliSvrWS.asmx?WSDL
